City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1127,Kilindoni,TZ,79.14,moderate rain,-7.9139,39.6668,Bustani B&B
1135,Macapa,BR,85.98,few clouds,0.0389,-51.0664,Atalanta Hotel
1139,Joao Camara,BR,81.64,clear sky,-5.5375,-35.8197,Pousada Miguel Teixeira
1145,Palauig,PH,77.94,overcast clouds,15.435,119.9045,Alperi Botique Resort
1148,Victor Harbor,AU,78.19,broken clouds,-35.5667,138.6167,McCracken Country Club
1153,Tamale,GH,83.46,overcast clouds,9.4008,-0.8393,Tap Hotel
1157,Maningrida,AU,87.39,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
1159,Sinnamary,GF,77.09,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
1163,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
1169,Sweetwater,US,80.62,few clouds,25.7634,-80.3731,Li'l Abner Mobile Home Park
1171,Ellisras,ZA,76.21,overcast clouds,-23.6649,27.7443,Lapa le le guesthouse
1176,Sola,VU,81.09,overcast clouds,-13.8833,167.55,Leumerus Bungalows
1178,Kapasan,ID,75.96,overcast clouds,-6.7773,111.3789,Perum Perhutani Kph Mantingan
1186,Itarema,BR,80.64,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
1188,Vanimo,PG,82.4,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
1190,Fomboni,KM,81.18,overcast clouds,-12.28,43.7425,Auberge les abou
1194,Matara,LK,76.42,light rain,5.9485,80.5353,Amaloh Boutique Resort
1199,Caravelas,BR,76.62,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
1200,Marsh Harbour,BS,76.55,clear sky,26.5412,-77.0636,Abaco Beach Resort
1202,Mogadishu,SO,79.0,overcast clouds,2.0371,45.3438,Hotel Juba
1203,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
1204,Lakatoro,VU,83.52,heavy intensity rain,-16.0999,167.4164,Lakatoro Palm Lodge
